Address,Category,SubCategory,Name,Url,UrlImage,Price,PriceWithoutDiscount
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Для тела,"Крем Бархатные ручки для рук, лица и тела, экстрапитание, 150 мл",https://samokat.ru/product/krem-barhatnye-ruchki-dlya-ruk-lica-i-tela-ekstrapitanie-150-ml,https://cm.samokat.ru/processed/m/product_card/fc1f8677-57d1-4e4a-af68-99704949c6c6.jpg,189,249
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Для тела,"Крем для рук Бархатные ручки питательный, 80 мл",https://samokat.ru/product/krem-dlya-ruk-barhatnye-ruchki-pitatelnyj-80-ml,https://cm.samokat.ru/processed/m/product_card/34cfe63d-d831-4df2-a0f9-489fdf03c027.jpg,89,119
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Для тела,"Из Чехии: Средство для снятия лака Lilien с алоэ вера, 110 мл",https://samokat.ru/product/iz-chehii-sredstvo-dlya-snyatiya-laka-lilien-s-aloe-vera-110-ml,https://cm.samokat.ru/processed/m/product_card/e995c61e-65e4-4faa-a08d-02d917ec823e.jpg,202,202
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Гели для душа,"Гель для душа Самокат, пунш с корицей, 300 мл",https://samokat.ru/product/gel-dlya-dusha-samokat-punsh-s-koricej-300-ml,https://cm.samokat.ru/processed/m/product_card/15cd5c52-c317-4a5b-ae7b-92bc395613e6.jpg,349,439
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Гели для душа,"Гель для душа Самокат, чёрный перец и ваниль, 300 мл",https://samokat.ru/product/gel-dlya-dusha-samokat-chyornyj-perec-i-vanil-300-ml,https://cm.samokat.ru/processed/m/product_card/74bd193d-39bc-4c1c-a67f-fcdb4b630000.jpg,345,445
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Гели для душа,"Гель для душа Самокат Relax Body Wash, 250 мл",https://samokat.ru/product/gel-dlya-dusha-samokat-relax-body-wash-250-ml,https://cm.samokat.ru/processed/m/public/71138ed9aa695e81_2200469000001.jpg,229,289
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Гели для душа,"Гель для тела и волос Самокат Pink Grapefruit, 300 мл",https://samokat.ru/product/gel-dlya-tela-i-volos-samokat-pink-grapefruit-300-ml,https://cm.samokat.ru/processed/m/public/ca51dc3d897d698a_2200470000007.jpg,219,289
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Гели для душа,"Гель для душа Самокат Active Body Wash, 250 мл",https://samokat.ru/product/gel-dlya-dusha-samokat-active-body-wash-250-ml,https://cm.samokat.ru/processed/m/original/54114c5a-3b40-11ed-885a-08c0eb32014b_567504974.jpg,229,289
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Гели для душа,"Гель для душа + шампунь Arko Men, 2 в 1, black, с активированным углем, 260 мл",https://samokat.ru/product/gel-dlya-dusha-shampun-arko-men-2-v-1-black-s-aktivirovannym-uglem-260-ml,https://cm.samokat.ru/processed/m/public/5754bdc327f76cfa_8690506490843.jpg,189,259
"Ростов-на-Дону, Орбитальная, 74",Уход и макияж,Гели для душа,"Из Испании: Гель для душа Dicora манго и авокадо, с витамином E, 400 мл",https://samokat.ru/product/iz-ispanii-gel-dlya-dusha-dicora-mango-i-avokado-s-vitaminom-e-400-ml,https://cm.samokat.ru/processed/m/original/90795_919586178.jpg,269,399
